grp,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
B,314.310463490589,1017.36406631036,291.418940754221,77.5260435466233,63.6286472768814,41.5826194961622,344.771795960123,275.854009441535,826.768094537732,809.935553689355,725.352341374699,477.898435922503,94.3480462962428,-323.963702650279,542.494172373745,673.521892178418,285.218272021683,601.653271182518,466.730263739395,341.874641440022,2378.73205034665,871.656705481543,936.443242757346,771.454656636443,421.187995586283,-46.7073559528765,-19.1007924117411,82.4109983669431,874.217618051789,195.342544445646
B,-55.3018275986205,916.595768342541,290.945885128785,79.1278815090085,70.1486127469141,69.2309224290289,343.359714676938,276.841326240204,769.633285348539,667.380241831211,506.861262221835,447.066215858404,104.707850021776,-47.2730056201894,555.84751059094,675.68894935095,-107.699320293622,602.033958315663,465.321436829606,342.889914966166,1907.26053844441,639.358955788679,990.705814182335,912.65434394932,540.062118582518,31.8748941575566,233.662807628786,364.19653064813,871.675530923146,88.1287227490709
B,2686.84860645344,1104.95375155766,294.46135274041,72.8698085505853,65.0909663495226,136.892102549319,341.603775044469,270.071813665901,657.137220837813,689.136651508785,862.00102684808,356.618865050974,98.246976803457,327.83501024656,547.959353296148,676.054246350297,206.602773152421,599.066590083641,463.795185400172,338.863292921699,2454.40321392542,524.150232867143,955.141322381918,-248.868564233961,410.833828204218,138.715187914353,130.349591577062,596.788905604157,874.609611449948,116.374401417483
B,-139.443951877671,826.037622558242,296.6835486373,78.1531486491662,68.4299557974477,88.9806206606586,351.972975260406,280.304373413195,708.350515239786,681.768424757112,187.992880806255,341.608898233096,82.8534739948164,-290.483854301329,565.035949398779,676.311170037805,-18.695157604687,599.684635501737,466.22629254763,331.947328357647,-1737.08947114577,-1058.74622489493,1023.608686397,1293.87456998691,395.198672618721,11.4576516033889,182.949025013384,152.943217808481,869.52294050551,50.1652207338428
C,-695.845711328525,1017.44003414914,292.972035540459,70.1406492531711,71.3272651864495,65.2420627429584,336.472519326586,275.894518467824,787.813643081047,803.855646288406,170.063261113989,309.329288974925,81.6190221234309,1285.86877415699,572.34656964027,672.215993026761,79.9481504151051,598.375174419395,462.525768224429,334.255888422905,877.129175328028,1199.70228010843,968.604418441497,53.8154064229905,204.328165037551,55.6689549484252,292.046898642095,188.331736176819,876.475933216245,-16.822618826974
C,14.8378736401123,746.599014924832,295.982941680092,67.3764973615205,70.7910179570738,-57.7405172835753,338.175037552165,277.411742087114,794.258330871861,801.343197035581,191.687196003584,392.301513733414,87.6145541213476,-373.906905410538,554.245714655595,677.246717865291,-218.121889094792,596.077787475931,469.050052775504,332.36526379965,1165.67708708824,-169.128274246679,947.94344553853,-638.589160532848,214.916234117559,193.776354896357,101.171615561178,241.304480329872,878.199725982763,24.3517082298569
A,1116.41668302209,1226.60844691171,290.306805558371,77.7223663182482,62.1079858882069,16.7779630989056,339.344546437351,272.576482681051,669.90195080094,677.923549804588,-174.312521589894,293.584363208373,92.4789660062601,-765.015158850445,565.50731377105,676.889180675311,287.607231392493,596.299082419097,467.504598718871,332.377409815406,-1139.60003739685,64.9939925992468,994.375297078281,312.498945633594,272.152378898212,173.200477486115,327.774862055437,792.220832507817,875.29638986391,7.03248973204771
C,-904.275967323636,952.007263368769,295.260519402667,85.7858818045132,72.0079316164306,9.56697426958928,344.862964756422,267.34214902158,616.599737596823,775.670362386213,444.254381368728,255.825737429027,88.7197910312185,244.568598907666,569.692058667316,677.866273747822,445.951014340433,597.736828362192,469.909707426159,334.543166354551,903.727771657487,626.98065378698,925.16575933505,-346.291191152763,284.134407754231,51.7766668202502,99.7087737794031,224.837821961367,880.279196210465,337.793538412746
C,-729.354108807584,1106.85512347535,295.410156295696,73.4974266362494,72.5513917051847,-42.3464022898009,330.844601289736,282.907515597629,614.880481681087,743.484419277482,-291.917494752252,343.715851092599,93.9297611266008,672.07264359857,560.038499178714,673.974143751836,356.789220779718,598.427824172914,467.510864413018,336.106570358212,477.93276586347,1485.4935905973,1005.70385121317,751.982549328021,270.460013108767,203.610022171522,136.438483545877,92.5238236292621,878.368467937328,300.827527555498
A,-282.196034789306,1271.41636110469,295.077420490139,59.7768947254944,68.2995516127877,131.390492385,334.359186214898,275.950560682495,678.209806527118,727.963425505959,395.277716404675,288.515977059953,89.0387795002905,719.966835816486,571.287519304764,681.55766666761,495.190282379415,597.938141791467,467.21547745027,339.287376069159,895.917092865167,1693.59556495874,964.181061327804,346.691674822697,243.093539768617,-2.11861667001301,396.773385628503,22.3393313513125,874.619813448891,123.654445175593
A,218.212154000606,993.99902971594,294.401729419929,77.6032830243269,70.0806876439029,-87.4824999574194,335.688029757988,276.262119435087,717.229686522535,785.473695367754,367.013009644026,350.534826649975,90.6352260332121,1598.35635918877,572.798422202244,677.612518619207,247.888407917189,600.054391701468,467.472871335615,339.798354149016,218.650586782526,1655.98992532872,949.81824162834,281.309740431796,252.193894810256,18.5277443907455,367.722143810974,179.285112131391,876.823493321803,-16.5040068789672
A,-515.318083017469,1075.24491811443,293.185242168052,92.6112676410974,64.4043836954331,9.71782424503473,335.633751750873,291.719749479721,613.101305379712,645.238644215031,321.748174863242,278.336609076831,92.2003314629539,-813.061328342491,567.30920930717,678.70517246884,713.969812828383,598.258878510316,469.835083107691,335.977572158566,87.2789370311923,412.523140568978,989.351354102815,488.18526913263,424.520828206842,115.903232398722,247.437473591662,726.017593412582,871.214229818551,73.5903241270054
A,-324.043538808706,669.219715463825,290.423094047669,76.0379466044315,68.5407632629153,96.9589065809256,325.566520531938,285.328623102007,684.83250030506,617.75453251026,284.994262421241,162.745133236708,90.1072409547009,817.774162260674,568.294055911074,681.437385103026,336.408958707015,597.854809100887,468.64522030065,333.529917018126,1958.15578102832,2032.88170436227,1003.3823795019,361.120161242683,215.168859588396,150.173627033008,392.805157531867,-236.172689778512,873.710003142456,130.417369739833
A,-991.36539818823,1058.69575009693,297.962452928825,75.0088528638859,68.6224795865936,7.99393320470628,335.192605718208,286.76503136515,774.483209063953,633.562342071361,102.168542406375,323.020185452591,91.3382554094156,-749.384056247788,562.40488545935,683.018973405994,424.47601290699,599.241472949122,468.031759677483,342.175593943199,-669.57398659862,334.634486289909,977.672672400447,220.912413326073,265.697911327385,233.676329549921,401.014217527864,411.715798669969,881.994636626946,39.1459170889216
A,620.918237262798,913.546834208344,292.157882022754,82.6413702502089,68.4439541619746,-62.774657659067,340.004237193194,271.68470751845,728.830500074319,737.253939590776,719.222091744093,367.636101276503,85.369066980374,-744.247719800071,550.620477130682,677.181677602385,243.873940613429,598.855013026439,466.303824602762,329.791640692851,27.5404366194441,-722.92307938963,956.852968450237,-549.364946148303,433.186743071736,98.9511498862614,356.757719049695,17.0750123434158,864.683620576552,69.0315948585022
C,321.002527130855,797.261830665727,295.325473904603,77.0857193462246,71.772685382717,-29.2702233976018,336.520989039455,277.631101817338,772.415289222158,887.044215761787,245.125872873103,233.900670112654,78.480919553861,-1444.6374617237,551.221389761102,675.935803347924,587.459637801486,595.709889532805,468.389282848762,344.237463419276,284.8308852766,1049.58777361054,909.766976094045,-176.830494313846,196.896748177741,13.6462115057894,226.955868230835,214.70806626677,881.612642673321,257.027244544015
B,-1212.4123101806,877.602249484463,293.655890425859,78.0077875151733,65.2723507077985,115.499823551373,350.493704144249,281.032745325838,642.108975429795,719.523814418204,254.155510487669,474.441079395561,100.03870285673,787.055741933707,552.463074518318,673.197256983165,435.66701999734,602.523602928776,466.60019616924,329.372786417557,-661.922818147704,-1315.56248028128,1030.78309081989,469.428814978411,182.750124444447,-96.0983690984179,258.54607222033,-249.067533899998,875.796183070274,96.8785842919528
C,449.840448027395,899.615040991477,295.800560889024,71.5943549413379,73.1637011534508,114.390502069043,339.491309830713,274.129056235799,760.940354876435,853.212335108273,351.660881511955,246.201030254017,85.4198845371499,245.727935084224,573.918055308295,670.916646200676,310.283355440808,594.136790145798,468.818603895721,337.947883600283,2069.90920961591,738.252270860612,952.58317577194,-26.8790146593783,204.136338206159,172.214631178206,202.369054219041,72.6542134205461,877.554261046641,149.230355551526
B,289.60825217146,872.315902231842,296.43333964768,79.3882223307255,61.364120386039,217.661496982212,342.081175234136,278.176431200904,590.808593491758,719.700256355925,252.549345910851,484.986093770873,89.9797735564448,-937.408570890071,550.901099853936,681.36251136966,395.880125977773,601.588282069855,467.785320090758,336.930034718498,-55.7032122309169,-1288.24966404396,980.543616073076,379.247713900314,481.459396675687,23.876462331126,228.883663408022,60.5356754944943,871.007709741842,352.693476891736
C,328.763688090182,1037.52702252551,291.661628513814,67.873221342659,68.4450249556545,-39.1980862641865,336.37104627556,279.961504135656,676.655409412188,721.391044081518,222.786202375268,350.82582306434,94.0598615272853,213.95354421728,562.420701825804,674.464144710894,530.461027636457,601.11037349271,468.802405152443,341.093891468273,-930.74732871642,1077.76982381817,945.573870045335,-830.560625910284,210.153296151447,9.63460281784217,286.904051560563,533.042777477891,875.953217376098,30.3219968369235
B,-318.212687653493,710.638451874851,295.947447591573,67.6825803472185,67.4831422980027,-16.4225733950993,342.872795548274,278.943163392302,722.627054749727,677.648575834822,324.464998974402,383.541393398935,88.2374123336257,845.923663949803,548.560602198698,672.137539257121,-4.90358805667717,599.5143342543,465.960785224747,324.456731516685,763.74416036237,351.101834443466,1040.53185801335,-613.127088477478,390.887503129493,2.63304233915908,153.266688585101,356.545716750844,871.301595547366,108.748350774219
B,1437.3234840316,1101.81736565779,293.029592575287,73.4953859853295,65.7923133809959,119.170432100535,353.181006140962,274.499709116584,698.649324759846,725.630856457201,465.284292278558,484.738447047779,108.37801013579,-179.536474252904,560.815181930918,676.492789415782,144.090930540872,600.532200396326,465.284689872554,340.400642107283,-60.6344678996477,1138.66742905305,960.506090214664,-19.5689397675333,383.414468898228,80.5506236758947,227.366328055518,177.618924049333,876.434011456419,-0.37669966284399
A,-1719.88327028296,1319.37889428647,292.797446331832,78.8404111491039,67.4739209185026,90.4531758229477,332.15843480733,280.813665100819,646.16889611985,744.93509946668,464.830231813384,258.088337088098,85.8975585634834,-56.0331957061415,566.119985448526,677.462468083574,514.689688466067,597.015413332584,466.050640004473,339.750598442565,1088.55526533104,750.273922409112,976.619113803104,56.668628457462,89.9704222059972,293.194364526292,242.050316403164,852.085441858385,874.928814230851,317.82726322846
B,1266.47837405993,1070.15688820273,295.392917622323,85.8143208912128,67.0965486546311,49.4077453035842,351.327623262758,278.971011268635,585.536078083538,798.152427621142,-7.04750034638704,393.049261897238,106.011955769789,754.347928224188,557.067123640302,674.890235728464,154.944100812981,604.395491578279,467.291468322808,335.316127237938,-445.449597726417,1557.10318956429,904.269869047069,171.459189117182,388.954961699797,111.926940519926,128.746472229873,-98.9395002067873,876.138300998318,52.4515558618974
A,-197.971002987109,1090.88813787835,293.212391961769,60.0379845540741,63.7867246612568,-40.8583416436378,334.708270372482,281.135950068711,719.604062439402,780.807396513542,355.914807538308,320.392777166054,94.4723525153753,386.351787555756,564.007100482641,678.9969759961,356.192530629676,599.779219629534,467.445658391104,335.860162027891,-614.760393088493,2144.75618578997,966.522922948139,1229.10820629487,85.6936291180257,154.329608206357,268.192878875533,317.12258913228,873.896130964144,48.2463465471907
B,-573.032724625196,1028.07757235765,289.75525634188,89.5665639291908,67.7388928473167,83.2394980076632,355.451255196679,268.063990202901,734.521946505092,787.353266195959,385.436222820109,351.356740393733,85.3498765575116,311.756083789125,551.04642068613,678.352409891327,316.784138612266,596.759260148977,466.513397298967,335.499530209841,2076.6066253837,632.574876455351,939.470899044777,-482.561312319133,337.33413403246,132.982334149046,121.53672705322,342.095498878906,871.568531170324,98.1608598866538
C,-109.190900229351,1027.51715721363,296.205962896617,78.9144254719564,64.7507111514417,-44.9903721525886,339.031186983842,274.781912439864,735.400193818482,834.81321373541,363.521208409894,138.021460805273,86.1553796287666,-128.643226167921,559.743953114446,678.456886135919,393.871918171373,595.032124047998,466.528334824281,336.286548742583,2440.94955688941,1134.45622983703,968.791840230953,401.718263829157,124.092526029601,119.08068129061,59.8045437931512,225.510564111926,879.550371909899,-1.66382350749844
A,794.267475184739,1032.47649094389,292.81882828541,79.5492950379118,64.2787160957436,-193.045926359798,336.756296290185,278.354933577491,750.945337842971,712.322803604184,696.920564292005,361.83890409594,96.6259426962036,701.167857861845,557.241730752045,672.419977129216,20.5052526636955,598.957750527415,466.852211714821,320.738449743333,534.592746108571,652.070196769305,976.423233930985,99.0821492609028,286.543186115215,24.9886521656057,257.456105925172,228.114032999341,875.667965335841,151.725122817198
B,-433.982377612561,988.200935094175,294.214153986167,74.3061324224028,65.7959911319423,1.07530551610499,344.409578767401,282.412218053235,670.215822644192,785.367759662643,-21.6954934527635,442.500507192587,86.623213390842,-32.5601989284472,555.088793614913,675.014186325311,212.270061688486,602.943116264376,466.258573424027,333.959116841532,635.136685115743,-668.634907751406,912.37447406878,321.408660040026,460.816929767562,-17.6076679922346,197.152338098449,415.001198008933,881.533946258154,257.759300444958
A,-172.917411665602,836.719840314614,296.620038348018,63.5278015812905,72.7653897891094,-60.2731796781095,348.811575389664,292.411209974832,642.474959950672,676.928325670755,362.513034428725,404.371110701825,71.5852581128681,-99.7412103033582,550.885589645063,674.101266093336,-24.6684016877908,598.280026255989,471.977787333257,311.900980645492,544.111598600612,352.499427717647,959.434954732696,483.14556305472,263.223055798385,71.79423967073,289.163748168949,490.801531285517,868.117446055602,118.375345126154
A,-378.709902463156,712.380414877051,298.246696631864,80.8211559882418,73.3346607766731,49.4722539694505,337.946142359069,289.359372826815,672.79192971693,731.129463124917,299.558521789135,147.695969280039,86.6767408094757,-756.388554777475,560.574431691463,675.724092069771,288.227918316461,597.401174804637,468.978851533291,332.202064898825,-73.5886061189551,1976.84540458824,983.934002643018,-21.8948537666576,383.521039341648,89.1131519480362,332.360161252795,322.899306877315,879.120590545499,-16.0954587347461
C,397.791965954496,1053.5558925721,293.390901902764,67.1198901857061,69.2326357579814,38.5886404199879,341.030467529963,277.74476277889,570.474161793531,908.504336008572,399.020993066004,277.743242094,80.215002017449,-1271.63475002472,568.195713158441,671.003524719616,690.393771268383,597.912366419771,468.258310557632,344.589552834981,966.220176565313,-360.444848696692,940.303597756521,294.715035376936,210.23313241958,149.561702323869,200.019766373317,141.982941337412,879.336754656783,222.295111735418
A,816.595147363441,1160.01857824147,295.315605546621,68.8008147098472,61.703621509465,116.377864594761,325.132459785509,282.43094306263,764.604021521449,756.653349970486,161.483328206267,271.363653922707,79.1994704108516,615.212791443088,562.042045767877,678.152077503304,103.958312846405,599.147765110554,471.742566795979,333.831200390772,288.234894001893,1894.07252002924,992.637399717736,287.008815310179,320.649024202239,179.20445600405,328.436278704305,-35.3353030074571,872.551377509573,330.062046631216
B,-1091.6128343894,923.670821628575,294.565142807433,67.1019949221452,65.0146856259605,125.511148811898,338.213905962632,266.488888383457,684.223141782156,679.466755668245,465.91357255367,365.137954407394,103.609242754175,-398.783341123003,549.15176016954,678.24412113113,298.631849978949,595.23604012928,464.283441923009,332.119621858584,-731.825914344237,452.010679277314,907.985657441724,1444.72969826876,417.985620771188,-10.7901560411248,219.778062872753,623.337511342631,875.041394441488,230.167729354055
B,-530.277870111047,760.875532569304,295.20358193433,75.6710550188514,67.2113792241248,14.2777816900772,345.387026531367,286.522989822389,700.58176790221,661.324358963485,576.398921338589,399.900872228759,95.4922192860132,-47.2870035580174,559.60524860217,675.774560310623,285.029118778916,599.926229602665,464.417410656186,332.508367618315,1187.43551042495,26.2847769256643,1008.78599930075,774.029728696392,441.957311560641,-66.3157204163623,176.768740961045,-52.9205715882228,869.135493928611,-117.056790817472
A,-723.373725174947,1307.54454562504,296.141879845902,69.6718008102917,68.1919945033625,-93.7108689992449,338.110911764098,268.634699863596,568.826859592764,803.195576200321,633.219720911718,274.57449685588,85.4791588650299,184.020129655379,569.719327907302,682.005856848158,123.147027278464,599.181061301098,467.512316984308,331.230314849506,924.739738784487,-765.799833436635,872.920123481678,-948.433628713093,328.376903121419,276.933233262125,297.571283393382,307.81085478985,873.210005989356,196.649799279789
A,769.500118959232,873.379706935434,298.210687785594,80.2048634824405,68.595178865798,94.8901258943155,333.851178767768,262.252462302234,674.827833074039,778.785722037339,231.404217503135,223.699055345983,77.8205896474581,1234.88270675996,558.442612418963,678.6605457,34.4465021348601,599.305602101136,467.276038512114,332.504624284332,1310.40788020087,-677.31057817244,989.931084078797,-1013.60078222979,109.987585272855,-59.6259312021168,292.415255079345,703.251740402463,873.114427229777,168.665089048461
A,-447.825207289518,828.015881141933,297.836616936582,80.6073291182297,72.2224236798788,72.7245131060703,336.024487619613,283.664297082079,709.860546449744,778.881199161715,210.964688141547,282.676197384268,84.7693943339022,257.634354480413,562.129373946514,682.650065705899,168.165642755111,598.867076887029,473.204854480721,332.248443876734,1121.87347490311,1561.78266346509,941.654606079072,1038.49744962402,272.596500081504,126.595225231214,438.395915576713,-318.566389799439,876.476642411854,234.166961905275
A,674.117623914541,1246.09910334482,293.702240944739,71.2361329407679,68.6422935841803,-30.7116451518766,333.961385569472,276.817643178683,748.613250612483,651.803120370582,633.714824831161,358.278462658566,85.5019918780109,-778.736286324067,560.256701408823,676.053055097093,128.591810204698,596.877989915344,469.980252976619,333.384975732281,-697.083484044407,4.1590111345788,932.289333384199,422.507225492071,265.074485979404,56.7207441330943,300.265434900979,518.764071392504,872.206983730781,67.2275195257983
C,1315.32817024961,1070.3750968676,293.004137436477,61.7031828752389,75.1480479605362,-93.8849264385654,338.525924477284,283.453466851414,657.498585753471,760.161089285574,-27.7354069476135,370.170514746483,98.1322046192066,463.322459638384,563.152765669244,672.991194916897,347.929442993948,598.204190310266,467.545608712329,337.726054633752,2171.69500545951,337.076675013664,956.82384686851,-150.576760969788,264.367662918926,-29.8492002555913,229.604920243953,224.720259801971,883.544918009259,18.8835086222675
A,1731.75465502209,786.408761696021,294.651743055562,71.2781206337923,64.7860560638108,2.13236852998784,341.846011771739,267.167139752139,673.911621756561,743.260433694224,149.447650531218,370.476992987989,83.939901002791,-877.682614344194,566.408852467785,672.987751004673,-342.510697295051,601.140062649723,468.644091835269,342.243736156302,1122.23554302277,1800.76786793019,894.115863564408,544.849055491759,300.068671362001,163.923840157658,368.990966856891,233.146796051351,875.52888647777,182.754826459502
A,-132.676985501338,821.974114946995,300.244405289787,81.369028334939,67.7824682410261,32.1538353629397,343.03100202348,289.651008088318,660.891779972477,705.195517703473,547.08310143294,183.858894332045,90.1170324669706,81.4176759114795,560.758986175315,678.631525049888,223.080155689555,594.161307516805,468.415045510261,328.51727389708,844.32409035788,18.2389706238721,893.386379436314,135.504178439273,258.207172452177,231.850583628917,381.64414984471,297.485211595534,883.048231040906,252.90304619629
C,237.270377959412,975.342425510807,291.926046030023,57.5491069621413,74.7978801060502,-179.573853233358,337.864724544726,293.208587335742,697.897411717013,866.257090220214,23.1324267172768,272.090897206128,82.9241080209314,773.777967949442,571.759265728642,673.097900077952,223.889532244871,600.846172939064,465.772432456953,345.152571931616,-839.699246964542,222.39352383143,898.652835343246,445.197906522582,220.694966373055,19.6761171486525,179.352279403548,-231.432743054789,877.518839968742,132.318870036031
C,-528.176701026658,908.840741914785,292.338121054788,75.4510808564071,67.5603184371653,-94.3912008627894,340.143434477445,262.918155044435,734.324134246081,855.609347873054,67.7981650955238,356.716715671235,88.6803054636488,851.860327576331,560.147684332695,670.850972265203,192.243766943872,596.465839421413,471.226140188033,332.402114308839,1553.10264455231,1296.49532335474,891.513486956173,269.461295670084,303.271467339149,-53.3465149025552,124.647964673134,146.072652362807,881.525375512402,411.207335212804
C,-827.556523035081,799.919871148527,290.111343939315,82.4425476183175,68.9433710494135,48.6829771807528,338.631810854346,284.260977289387,730.522491199473,838.677551504547,650.679164547084,292.19826670115,84.0553496747352,447.093618592118,568.770074838355,675.165369067844,414.23336084597,594.562874650796,469.225066709388,337.093204605398,-124.547893948035,248.012660425008,973.929936500187,1100.32438604492,224.962617628923,222.944533668829,168.936577052382,375.503682773351,879.978388581645,116.193718171124
C,1431.00824144981,1191.22248656197,294.013886325625,54.6632252886739,70.7908663733943,108.71522805711,336.522231367589,279.088247491664,720.616091840742,918.71535049596,317.054299982835,323.083841861318,85.0021685875999,-5.67012151475634,556.816334198153,674.994069627955,-180.595194788203,595.731066447867,466.976516860792,336.466943558426,-351.136227860954,-542.411775119807,916.841730545687,1291.44300319277,182.813978569665,-128.68823889344,193.518050891072,727.645376454315,881.302079162357,74.9637790572796
B,-2149.5285639935,839.146373039497,295.853913936562,71.4705221887832,65.4319690054024,-4.33624017919821,344.302951706194,258.917839727393,736.880005041136,702.528686686867,313.160634297275,356.839036730006,86.9214088579047,1738.40875535674,545.490431966149,675.810299303092,221.845406305947,599.823483624103,464.630163146077,330.75940319471,839.010197241455,415.566766966306,957.109021796467,-613.381070807448,339.51148490074,-10.0404770619909,181.478201655155,446.150649137176,875.772214547024,249.837107097673
A,247.84973227547,774.018070147036,295.270184620861,80.1957824009509,59.1550350259282,62.1023604996338,334.308718626074,281.232960290285,655.524557993955,765.027840581249,504.380953137718,338.863725822634,102.110997261385,-671.136890589009,554.714215886807,676.356367917833,-89.3532954828836,596.026251504989,468.750743638945,333.718754375896,1918.09301444143,757.056655617663,1010.79363659951,1269.7017433863,335.874577997151,46.4279886608848,330.374854407759,135.551482379228,877.568351825056,156.388498893149
A,339.602752874911,728.386710757614,297.272090341568,77.7396054290314,62.3377591432473,44.4006970094038,345.149850217889,274.582236384168,758.4837653813,683.543794716628,605.29101202395,326.291515792898,83.510173547756,-956.268730019489,554.001677438962,678.776419718266,337.830342671322,599.635638130836,468.255935744089,326.155873147278,135.283437357036,613.667114630258,1031.25021119111,229.901471250607,350.434226095298,137.468046604349,390.230158563882,-120.28106948569,877.055689151182,48.4361558986038
A,-497.654438833905,912.078986532455,294.486734270336,85.1249907588395,70.0305210709475,23.646229350566,330.214920702623,276.309631925533,742.507094807766,714.019072019959,238.938917754493,221.025975168053,89.1849875910432,-385.26210230142,558.087413223156,676.246164416615,437.663632418207,600.406529764228,470.18753101463,334.013677920975,533.120517408287,811.07337227255,959.582826599724,-158.559980834901,314.982840685151,136.828698148983,340.925263247579,617.283210930685,869.119631330638,-62.9436909267256
C,82.6223889561493,1114.18108529127,298.577608279353,75.2080897767525,71.0540849876408,10.0079954381304,342.101421053248,283.4083064781,656.423360328218,909.005296785303,405.781965533979,353.225145541681,81.4560251542674,-598.712800520769,553.964877492811,675.415855770304,58.296578072903,600.055710185115,463.699106290442,339.295044114944,743.907965841877,1288.58447017432,981.126089078806,1051.06789031002,152.07247008418,-24.4869109209624,135.873699783489,-25.5015352184194,878.885696235336,-3.8834199261657
A,-378.02108332201,907.193682307765,301.453007949626,76.8719294564946,61.8867269603269,-4.13256089660167,325.720874928322,287.088756111043,721.779370375345,709.530835981413,263.375131405304,386.015486009991,97.6619715167098,280.129370071573,562.524703273648,677.963189773125,53.5320392541824,597.586971938877,468.583993990083,329.813153328344,1831.14103729807,-2379.56099473969,936.537944486675,964.662087803435,323.372842198546,69.9319935694106,456.938965104762,583.161420075839,872.482986968729,138.864041509176
